Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,State,Lat,Lon,SPEI3,VPD_exp_7,Wind_exp_7,CE_AND_7,CE_OR_7,CE_days_7,VPD_exp_14,Wind_exp_14,CE_AND_14,CE_OR_14,CE_days_14,VPD_exp_21,Wind_exp_21,CE_AND_21,CE_OR_21,CE_days_21,VPD_exp_30,Wind_exp_30,CE_AND_30,CE_OR_30,CE_days_30,Drought,PCE_VPD,PCE_Wind,SPEI12_deficit,VPD_exp_7_binary,Wind_exp_7_binary,CE_AND_7_binary,VPD_exp_7_t0,Wind_exp_7_t0,CE_AND_7_t0,VPD_exp_7_t00,Wind_exp_7_t00,CE_AND_7_t00,VPD_exp_7_t05,Wind_exp_7_t05,CE_AND_7_t05,VPD_exp_7_t10,Wind_exp_7_t10,CE_AND_7_t10,VPD_exp_7_t15,Wind_exp_7_t15,CE_AND_7_t15,VPD_exp_7_t20,Wind_exp_7_t20,CE_AND_7_t20
CA3601111879719850712,,TULARE 4,Wildfire,4752,MTBS,Initial,1290,36.011,-118.797,1985-07-12,504203519840707,504203519850726,,62,-9999,-970,-150,90,233,425,,CA,36.011,-118.797,-0.69074946641922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2365570068359375,0.0,0.2365570068359375,0.0,0.0,0.2365570068359375,0.0,0.2365570068359375,0.0,0.0,0.0,0.0,0.0,0,0,0,1.8918030261993408,0.0,0.0,1.8918030261993408,0.0,0.0,0.022091567516326904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA4820811967519850623,,MONSE,Wildfire,4753,MTBS,Initial,2890,48.208,-119.675,1985-06-23,504502619840610,504502619850715,,55,-9999,-970,-150,200,374,610,,WA,48.208,-119.675,-1.0186359882354736,0.0,5.372227907180786,0.0,5.372227907180786,0.0,1.152503252029419,9.766960740089417,1.1669768569520798,10.919463992118835,1.0,2.4729323387145996,9.766960740089417,1.1669768569520798,12.239893078804016,1.0,4.2264851331710815,11.276023983955383,1.1669768569520798,15.502509117126465,1.0,0.0186359882354736,0.0,0.3164123513336738,0.7769653797149658,0,1,0,1.9848352372646332,12.281886219978333,3.5632164757870006,1.9848352372646332,12.281886219978333,3.5632164757870006,0.7571060061454773,8.781886219978333,1.6068374562227619,0.0,5.372227907180786,0.0,0.0,2.507750630378723,0.0,0.0,1.3477771282196045,0.0
WA4799411870619850704,,KELLERFE,Wildfire,4754,MTBS,Extended,1695,47.994,-118.706,1985-07-04,504402719840705,504402719860625,504402719850825.0,12,-9999,-970,-150,120,231,400,,WA,47.994,-118.706,-1.518147110939026,3.0429753065109253,1.2875685691833496,0.6549857571733657,4.330543875694275,1.0,3.0429753065109253,1.2875685691833496,0.6549857571733657,4.330543875694275,1.0,4.762515664100647,1.3605034351348877,0.6549857571733657,6.123019099235535,1.0,5.42198383808136,1.903044581413269,1.0628031578883848,7.325028419494629,2.0,0.5181471109390261,1.2556706828334545,0.8167924670675215,1.249367356300354,1,1,1,9.605771124362946,4.464129656553268,4.590947649864436,9.605771124362946,4.464129656553268,4.590947649864436,6.105771124362946,2.5546576976776123,2.4866662187778523,3.0429753065109253,1.2875685691833496,0.6549857571733657,1.0311095714569092,0.28861021995544434,0.0,0.0,0.0,0.0
WA4845711860619850830,,AIRPORT,Wildfire,4755,MTBS,Extended,1333,48.457,-118.606,1985-08-30,504402619850825,504402619860812,,-13,-9999,-970,-150,150,350,600,,WA,48.457,-118.606,-1.235373616218567,0.0,1.259791612625122,0.0,1.259791612625122,0.0,0.0,2.1235431432724,0.0,2.1235431432724,0.0,0.0,3.0032382011413574,0.0,3.0032382011413574,0.0,0.0,4.496864199638367,0.0,4.496864199638367,0.0,0.2353736162185669,0.0,0.5445380680406053,1.1225228309631348,0,1,0,0.2789028584957123,5.259791612625122,0.5553526583535735,0.2789028584957123,5.259791612625122,0.5553526583535735,0.0,3.259791612625122,0.0,0.0,1.259791612625122,0.0,0.0,0.27231454849243164,0.0,0.0,0.0,0.0
OR4479412120619850615,,DUMP 21,Wildfire,4756,MTBS,Initial,2330,44.794,-121.206,1985-06-15,504502919840813,504502919850629,,-2,-9999,-970,-150,100,200,9999,,OR,44.794,-121.206,-0.9891536235809326,4.722243309020996,0.2870261669158935,0.1228528514059395,5.00926947593689,1.0,4.722243309020996,0.3667731285095215,0.1228528514059395,5.089016437530518,1.0,5.244639158248901,1.4164018630981443,0.3123638963644795,6.661041021347046,2.0,5.616438627243042,1.4848530292510986,0.3817169592703688,7.101291656494141,3.0,0.0,0.0,0.0,0.8227717876434326,1,1,1,10.20700153708458,3.472889795899391,3.930693774032063,10.20700153708458,3.472889795899391,3.930693774032063,7.086063981056213,1.5114246606826782,1.1447093583215546,4.722243309020996,0.28702616691589355,0.1228528514059395,3.0190316438674927,0.0,0.0,1.6151492595672607,0.0,0.0
CA3544311877719850503,,ADELAIDE,Wildfire,4776,MTBS,Initial,1054,35.443,-118.777,1985-05-03,504103519840630,504103519850703,,2,-9999,-970,-150,50,300,9999,,CA,35.443,-118.777,-1.149250030517578,0.0,0.0,0.0,0.0,0.0,0.1105371713638305,0.5365742444992065,0.0,0.6471114158630371,0.0,0.1105371713638305,0.5365742444992065,0.0,0.6471114158630371,0.0,0.1105371713638305,1.022688865661621,0.0,1.1332260370254517,0.0,0.1492500305175779,0.0,0.0,0.0618080161511898,0,0,0,0.2272291332483291,0.6015045642852783,0.0,0.22722913324832916,0.6015045642852783,0.0,0.0,0.10150456428527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3672712076819850609,,PONOCHE 2,Wildfire,4777,MTBS,Initial (SS),7508,36.727,-120.768,1985-06-09,,504303519850802,,-9999,-9999,9999,9999,-30,-9999,-9999,,CA,36.727,-120.768,-1.4594370126724243,2.29935884475708,0.0,0.0,2.29935884475708,0.0,2.9751518964767456,0.0,0.0,2.9751518964767456,0.0,3.1221985816955566,0.0,0.0,3.1221985816955566,0.0,4.427203059196472,3.3703384399414062,0.3350332546059636,7.797541499137878,1.0,0.4594370126724243,1.0278183490759003,0.0,0.4786516726016998,1,0,0,9.29935884475708,0.1405774056911468,0.427361543352743,9.29935884475708,0.14057740569114685,0.42736154335274307,5.79935884475708,0.0,0.0,2.29935884475708,0.0,0.0,0.11230909824371338,0.0,0.0,0.0,0.0,0.0
CA3590312056319850702,,LOWES,Wildfire,4778,MTBS,Extended,2708,35.903,-120.563,1985-07-02,504303519840730,504303519860720,504303519850802.0,33,-9999,-970,-150,140,265,450,,CA,35.903,-120.563,-0.4935764074325561,3.2350867986679077,0.0,0.0,3.2350867986679077,0.0,6.080977201461792,0.0827599763870239,0.0,6.163737177848816,0.0,6.080977201461792,0.5277328491210938,0.0,6.608710050582886,0.0,6.080977201461792,0.8708679676055908,0.0,6.951845169067383,0.0,0.0,0.0,0.0,0.6894049048423767,1,0,0,10.235086798667908,2.4359175860881805,3.6691593441694392,10.235086798667908,2.4359175860881805,3.6691593441694392,6.735086798667908,0.8617802858352661,1.6608383231765078,3.2350867986679077,0.0,0.0,0.5290008783340454,0.0,0.0,0.0,0.0,0.0
CA3673911825219850706,,ONION,Wildfire,4779,MTBS,Extended,8583,36.739,-118.252,1985-07-06,504103519850703,504103519860706,,-34,-9999,-970,-150,-50,300,9999,grass fire hard to tell the perimeter,CA,36.739,-118.252,0.8804367184638977,0.0,1.0061581134796145,0.0,1.0061581134796145,0.0,0.0,1.0061581134796145,0.0,1.0061581134796145,0.0,0.0,1.430283546447754,0.0,1.430283546447754,0.0,0.0,1.7198874950408936,0.0,1.7198874950408936,0.0,0.0,0.0,0.0,0.0,0,1,0,0.1627563536167144,3.3344433903694153,0.3231882758592664,0.16275635361671448,3.3344433903694153,0.32318827585926646,0.0,1.8344433903694153,0.0,0.0,1.0061581134796143,0.0,0.0,0.5061581134796143,0.0,0.0,0.006158113479614258,0.0
CA3637912058319850706,,LOSGATOSIV,Wildfire,4780,MTBS,Extended,20357,36.379,-120.583,1985-07-06,504303519840730,504303519860720,,25,-9999,-970,-150,90,252,460,,CA,36.379,-120.583,-0.4961128234863281,0.0673892498016357,7.220306992530823,0.2635968154993145,7.287696242332459,2.0,0.0673892498016357,7.63207471370697,0.2635968154993145,7.699463963508606,2.0,0.0673892498016357,11.487316846847534,0.2635968154993145,11.55470609664917,2.0,0.0673892498016357,11.84155571460724,0.2635968154993145,11.908944964408876,2.0,0.0,0.0,0.0,0.5484995245933533,1,1,1,4.536947570741177,13.244029637426138,7.229724235495694,4.536947570741177,13.244029637426138,7.229724235495694,1.9186952114105225,10.220306992530823,3.5557685716650544,0.06738924980163574,7.220306992530823,0.2635968154993145,0.0,4.63310706615448,0.0,0.0,2.3121931552886963,0.0
