Variable,tau,beta,ci_lo,ci_hi
VPD,0.01,0.0019415295825875227,-0.00022010885558349107,0.004599684990805062
VPD,0.02,0.002973210331514247,-0.00039355113572541876,0.006237424603545125
VPD,0.03,0.0027585297338965087,0.0005528088392766474,0.007136805776630592
VPD,0.04,0.005288345126020383,0.0010028894075296254,0.008172200762671396
VPD,0.05,0.005550171304737815,0.002229764239001937,0.009593065317048467
VPD,0.06,0.005574897100062303,0.003019797981436681,0.010193843548880957
VPD,0.07,0.007375116368224202,0.0030488864223725057,0.011951490577823248
VPD,0.08,0.007350298164734664,0.0030505916271942354,0.011791077911833068
VPD,0.09,0.007292636558109499,0.0034724017837589045,0.011345674030841794
VPD,0.1,0.007920803038483665,0.0035670783051099356,0.013436330370005849
VPD,0.11,0.007490483474035806,0.00483279102535701,0.0150701094571482
VPD,0.12,0.007567438427678413,0.004420015759112972,0.016683234659561196
VPD,0.13,0.009190276937763205,0.004292986251528498,0.017701642848763972
VPD,0.14,0.011004673128678205,0.003828282144617094,0.018775814065768483
VPD,0.15,0.011153188106497422,0.003862171919411522,0.018798346089988326
VPD,0.16,0.011261332404781176,0.0036723851926089555,0.01937574722971253
VPD,0.17,0.011121787788484189,0.004433145699937067,0.019736637333365514
VPD,0.18,0.012455642433485405,0.0046641334533520365,0.019515617288266035
VPD,0.19,0.013695533732858155,0.005576264530713597,0.020040079233600135
VPD,0.2,0.014101893808029587,0.006734284315531378,0.020334163722499143
VPD,0.21,0.014421369592522708,0.00740448454834523,0.021750418452320827
VPD,0.22,0.01575771917021788,0.00892915431742202,0.0232635450831314
VPD,0.23,0.01473737291907855,0.009746213352709239,0.024124113876845963
VPD,0.24,0.015500943785082178,0.010261478524043795,0.023527967248564912
VPD,0.25,0.016308494242096645,0.01002815018130667,0.023169499285107316
VPD,0.26,0.014455151828758178,0.009217263124415013,0.025098995763217072
VPD,0.27,0.014215509348719624,0.008347076677302476,0.024881383815106243
VPD,0.28,0.015569498500990556,0.00782165699516244,0.025937339247496
VPD,0.29,0.014719352124773407,0.007355915742371215,0.027792918076299997
VPD,0.3,0.015026845937723592,0.007076882267745655,0.02916547320514382
VPD,0.31,0.01805463834092646,0.00895987319877055,0.029576017265706665
VPD,0.32,0.020131120133036133,0.00906079795823296,0.030284236689423316
VPD,0.33,0.020590110046521694,0.009474713099973607,0.03157699285024634
VPD,0.34,0.021967403567700723,0.011234358525729883,0.032636866454320436
VPD,0.35000000000000003,0.02246666958286497,0.01269367672086411,0.03385418670914412
VPD,0.36,0.022966813608713176,0.01388887612275826,0.035903914589400315
VPD,0.37,0.022517448614476625,0.014473975877401252,0.037267471797376654
VPD,0.38,0.025839583028077685,0.01470099540429622,0.03885445430689386
VPD,0.39,0.02728913638053787,0.014480110459011349,0.041415880553235127
VPD,0.4,0.02741427097287378,0.014616763584385004,0.043426501667681645
VPD,0.41000000000000003,0.02836468249345486,0.01693885584385683,0.04460901655882457
VPD,0.42,0.03001203983001797,0.01916677455824321,0.04627111805311515
VPD,0.43,0.03318796282056006,0.01983758741494557,0.048561416269998964
VPD,0.44,0.03499766860847317,0.02075321181280695,0.049529356909084124
VPD,0.45,0.036584033694264655,0.02158174912919767,0.05120211979820675
VPD,0.46,0.036125539876291406,0.022067384490711092,0.053294240502829854
VPD,0.47000000000000003,0.03893231651963197,0.023583304000171584,0.053839333343829884
VPD,0.48,0.0408340732243952,0.02471299665041245,0.054973057531741386
VPD,0.49,0.039597813019419593,0.02530982974773711,0.05757523847889209
VPD,0.5,0.04205884620712123,0.028790103646317365,0.059262309332611195
VPD,0.51,0.04218147948446298,0.029125593283489477,0.06039758281581862
VPD,0.52,0.044848979942640685,0.029114015452514,0.06275435246537742
VPD,0.53,0.04430843492818845,0.03021157865139584,0.06566347881959259
VPD,0.54,0.048294369512668564,0.03148911862281775,0.06974396489587341
VPD,0.55,0.04921326965244275,0.032503637436026744,0.07162685139273973
VPD,0.56,0.054062016999264294,0.034104278969803455,0.07274424009814531
VPD,0.5700000000000001,0.05603323614162598,0.03666283163766754,0.0725553997528656
VPD,0.58,0.05809937200067816,0.03852770258024853,0.07451073794797648
VPD,0.59,0.06130318190797559,0.03832628832504283,0.07647118233829156
VPD,0.6,0.0627477191505641,0.03829595222888136,0.07797831770139484
VPD,0.61,0.062422677027806614,0.04047406133656407,0.07814494917534341
VPD,0.62,0.06080123731024962,0.044120050219507316,0.07740968130985804
VPD,0.63,0.060860043092918245,0.04608449635755511,0.07716044686252634
VPD,0.64,0.06131757723326653,0.04673287968784595,0.07575528580550131
VPD,0.65,0.061355739192925945,0.04668547734288518,0.07759888559815185
VPD,0.66,0.060675224146997074,0.04772018674990692,0.07932141803264996
VPD,0.67,0.06247892782206374,0.04907454980740074,0.08147526225620715
VPD,0.68,0.06609069995757276,0.04915222528237969,0.08394376341524691
VPD,0.6900000000000001,0.06714378031336679,0.04856799816870364,0.09034534434942655
VPD,0.7000000000000001,0.07097197592124983,0.04824761023299055,0.096049219924044
VPD,0.71,0.0700496469309032,0.05052461272517662,0.101855915202527
VPD,0.72,0.07306677064157104,0.053329738806857915,0.10426775056698089
VPD,0.73,0.07785852997534284,0.05281980848527698,0.10540190664724577
VPD,0.74,0.07508022879515225,0.05377291795246966,0.10807003288667189
VPD,0.75,0.08005978738493434,0.05305020711352061,0.11472265807808593
VPD,0.76,0.0853993448759027,0.0525339702757594,0.11471674467858102
VPD,0.77,0.09144121532737168,0.05749752417681612,0.11682824587060407
VPD,0.78,0.08944860445192529,0.06257210614044341,0.11877701998470816
VPD,0.79,0.09339142447293715,0.0679625164931519,0.12173474084133071
VPD,0.8,0.09462925596491976,0.07012629047072758,0.12562932516737413
VPD,0.81,0.09781217807360248,0.0731122293125488,0.1301632879417849
VPD,0.8200000000000001,0.10201949889342886,0.07564287538577631,0.1314230630862217
VPD,0.8300000000000001,0.11236958738647279,0.07957731952404613,0.1315982259415294
VPD,0.84,0.11314928969837662,0.08473963830530054,0.1305685584278644
VPD,0.85,0.11409481603021791,0.0908123405580754,0.132494187062865
VPD,0.86,0.1144803834043535,0.09392599235747577,0.13741477191713744
VPD,0.87,0.11194371646102175,0.09284362936591677,0.13810428876258682
VPD,0.88,0.11055355477934405,0.09126515715373762,0.13902619025157623
VPD,0.89,0.11455037516317342,0.09069686286952747,0.1423853633056963
VPD,0.9,0.11309027755144706,0.08884549130395249,0.14261579385249468
VPD,0.91,0.11532529287836583,0.087450109139624,0.14307027633285446
VPD,0.92,0.10641509836429781,0.08380262739581192,0.15335267131028024
VPD,0.93,0.11044041379924478,0.08150838835508639,0.1544747546311545
VPD,0.9400000000000001,0.11585609899694009,0.08000646647968941,0.15895013771529895
VPD,0.9500000000000001,0.126152708471827,0.07398424994902454,0.15770884779202043
VPD,0.96,0.1286866902761595,0.07869275252975139,0.16458146080267147
VPD,0.97,0.11611517855108748,0.08400515948432193,0.150992847375031
VPD,0.98,0.09929219712455464,0.0741597548465863,0.1479108923142746
VPD,0.99,0.12581274696592915,0.06488175399704439,0.17076571481031583
Wind,0.01,-0.00013821281097918945,-0.0025915436551913786,0.003229676163113637
Wind,0.02,0.0012928775978013596,-0.0018276966256864718,0.005980629285641475
Wind,0.03,0.0022367689489818854,-0.0016423034707897625,0.007497994312932254
Wind,0.04,0.003840216358799148,-0.0016975897190521407,0.010663569228465262
Wind,0.05,0.005434394653601326,-0.0005589116796007634,0.013551396587292885
Wind,0.06,0.007256374930816997,0.0008357507538358883,0.016964999707472218
Wind,0.07,0.011089130694009224,0.0016006949654545325,0.01762342136492707
Wind,0.08,0.012104524416239985,0.0037836006591705795,0.02121231987057647
Wind,0.09,0.012316920957908917,0.005102225836637008,0.025329783322030997
Wind,0.1,0.014380048071924419,0.00673255978909248,0.02802760744844945
Wind,0.11,0.019525056495499498,0.00788234220120512,0.027326071369928377
Wind,0.12,0.021499086089760647,0.011968597352520831,0.026630406215010186
Wind,0.13,0.02153857745517243,0.013646211571357404,0.027265714672180377
Wind,0.14,0.02133541136245795,0.014504838197037156,0.029518095956718778
Wind,0.15,0.022740513347229638,0.013393825142714711,0.03084263405607334
Wind,0.16,0.021219742990764005,0.013456031740814809,0.031772657516548154
Wind,0.17,0.022732017757203547,0.01305946857616226,0.03259958399495336
Wind,0.18,0.02300352752006883,0.0125117125343777,0.03350859674850539
Wind,0.19,0.024926090798691236,0.012110134321382183,0.035434763994584555
Wind,0.2,0.027116853420545196,0.013273889152813273,0.036151384539983185
Wind,0.21,0.026989791103233948,0.014599084638893861,0.03770687422204808
Wind,0.22,0.028250164094834745,0.016738579924098527,0.03836776700645429
Wind,0.23,0.02839041321108208,0.017483964229473917,0.03900476327502558
Wind,0.24,0.030233343199230975,0.0173582223609417,0.04021783286012164
Wind,0.25,0.027942310130046288,0.016727562666713665,0.04052076346913392
Wind,0.26,0.02735837288835406,0.01625248686939508,0.039897383207598607
Wind,0.27,0.02846384478993651,0.01632513433129446,0.040831064912679016
Wind,0.28,0.027593079086161335,0.018094149111193374,0.04261019174957623
Wind,0.29,0.030479823291437353,0.018290806452554063,0.042553654478541834
Wind,0.3,0.032372769411261444,0.018280463247620456,0.04236192082889583
Wind,0.31,0.03194021305187824,0.019546341556643733,0.04259933999646967
Wind,0.32,0.032093577146116936,0.020816285566674426,0.04413838403839935
Wind,0.33,0.03164196330394218,0.02166097270369084,0.045696093522222175
Wind,0.34,0.034048701354065965,0.020319211042531576,0.047065820461398886
Wind,0.35000000000000003,0.034918187898152465,0.019971315521768514,0.0493372991501098
Wind,0.36,0.03298172386580375,0.020135300394051415,0.05103448454398636
Wind,0.37,0.036866496914164854,0.01931291543670021,0.05247288517116862
Wind,0.38,0.036251530938222344,0.019478872177268916,0.05342724956483434
Wind,0.39,0.03788103967341423,0.020781897477662296,0.053838527012482325
Wind,0.4,0.037119909606867424,0.020892373656983033,0.05640535643741342
Wind,0.41000000000000003,0.03846921529666962,0.021539119837696383,0.05897129925259718
Wind,0.42,0.03918896552488222,0.020425960198045958,0.06101644592676386
Wind,0.43,0.04228313601821279,0.020122154673306688,0.06511383688876779
Wind,0.44,0.04435469172123316,0.019864808801670512,0.06651160004503484
Wind,0.45,0.04737724346978196,0.023231731488588425,0.0693773209991866
Wind,0.46,0.04882327013949404,0.023109026906432458,0.07218182478794695
Wind,0.47000000000000003,0.04992877139996622,0.023492021619563222,0.07555649476765362
Wind,0.48,0.05274332501558441,0.029567435824197904,0.07806012573405582
Wind,0.49,0.0570700142667533,0.03285767780945426,0.07828949042990324
Wind,0.5,0.05745548586570026,0.031777661434444375,0.07863709346257412
Wind,0.51,0.05886902753767582,0.03260306055790346,0.07996310581405777
Wind,0.52,0.060473997677118085,0.0351748496765494,0.08010818687829492
Wind,0.53,0.05969952391884109,0.03899169714618179,0.08044011192778058
Wind,0.54,0.05991874689471233,0.04231998241724874,0.07957958455962369
Wind,0.55,0.06002620134727892,0.04357895955770746,0.07973298267806392
