Variable,tau,beta,ci_lo,ci_hi
VPD,0.01,0.0025771714734324526,1.957881848143817e-06,0.006198244142623962
VPD,0.02,0.004033016443089291,-0.0008563054931545142,0.008321890304363663
VPD,0.03,0.0038006502172093313,0.0006059473213741881,0.010099806747922
VPD,0.04,0.007581204892343033,0.0009177903757630905,0.010613974485239114
VPD,0.05,0.007189355963286996,0.0022050023845016685,0.011303593249866972
VPD,0.06,0.007281696686302147,0.003589197651459833,0.013199639308459106
VPD,0.07,0.008961596465870561,0.003508868490766242,0.014825243084183868
VPD,0.08,0.008268817787992403,0.003241588099384646,0.01440439719956939
VPD,0.09,0.008032545146788743,0.0037836400830888305,0.013603423356378807
VPD,0.1,0.008619978930437495,0.0033309701544732666,0.016135023456823806
VPD,0.11,0.00813481094251714,0.003297503957113749,0.018040894631306134
VPD,0.12,0.00766613805252348,0.004503805134508521,0.01902055311408043
VPD,0.13,0.009194746798361794,0.003817894846340179,0.021186347701926903
VPD,0.14,0.011455986715683587,0.0034203180891239763,0.02141056495096933
VPD,0.15,0.01212375697003203,0.0030374159666790427,0.022339099066518146
VPD,0.16,0.011504135700644865,0.0028045828596900317,0.022439729603321933
VPD,0.17,0.011601392836546239,0.0025961952357465216,0.02310395787912169
VPD,0.18,0.01467650653008508,0.002870541376112532,0.023942410587933026
VPD,0.19,0.015528569378767421,0.0038968253942222373,0.023794299010076455
VPD,0.2,0.01577080978708787,0.0050205829755760175,0.024152211571694313
VPD,0.21,0.015423558866317494,0.006531588785414394,0.025733181931655358
VPD,0.22,0.015723700099350042,0.007316952617383648,0.02661817951828982
VPD,0.23,0.016747508344729625,0.008624865029101966,0.02720877484940355
VPD,0.24,0.01602627046385892,0.009859327223192094,0.027742369075613553
VPD,0.25,0.01738258242771407,0.009710035719651188,0.028137962514468675
VPD,0.26,0.015537118244358954,0.008875614662850643,0.027872349692550064
VPD,0.27,0.014479360811999107,0.008205559466508748,0.028366418640553198
VPD,0.28,0.015412012794170137,0.007115789148293254,0.02877806810507653
VPD,0.29,0.015487327931347198,0.0068561517464161646,0.03021314725595299
VPD,0.3,0.015419643386425246,0.006110606889401673,0.03252625399250633
VPD,0.31,0.016106702626925967,0.006500446385687071,0.03407823426545917
VPD,0.32,0.019589968568706283,0.007391883386492849,0.034989272616383814
VPD,0.33,0.021373317045456443,0.006887210079986339,0.03766512269501505
VPD,0.34,0.024123237593261584,0.00615383799387819,0.03802603547881544
VPD,0.35000000000000003,0.024447037937624386,0.006892169787376937,0.040144107382347305
VPD,0.36,0.023560044797259844,0.009650842607442792,0.04108161842978544
VPD,0.37,0.025449236414833914,0.013223720573978033,0.04227389102838462
VPD,0.38,0.02632027549820876,0.014407006807187412,0.04468589286640938
VPD,0.39,0.028307509547183238,0.013663576765326594,0.0466892866720923
VPD,0.4,0.029908197059858525,0.012936439724684477,0.04686382033688925
VPD,0.41000000000000003,0.02903899183521645,0.012913025593017123,0.05106680205283996
VPD,0.42,0.030924099274341046,0.015427985641823905,0.05523415019023572
VPD,0.43,0.03627555202748654,0.017747411318566216,0.057902864029293274
VPD,0.44,0.03734062311682453,0.01874814334855253,0.05933608857506269
VPD,0.45,0.04001902127241229,0.019610779123400698,0.05874732213321381
VPD,0.46,0.04051016141147143,0.020698534248784553,0.05860274379088615
VPD,0.47000000000000003,0.0442610611084962,0.020558281501384435,0.059219008050028187
VPD,0.48,0.04451074489933471,0.02260129602318184,0.061970836367468675
VPD,0.49,0.044394939926859056,0.026335370209722687,0.0661392884798096
VPD,0.5,0.04593380109115674,0.02715558618270134,0.06843008670166505
VPD,0.51,0.04737360622665226,0.028727295082486313,0.07095102431835867
VPD,0.52,0.047169155165806546,0.02939338141808262,0.0769682504469818
VPD,0.53,0.048516857455978474,0.030856453088143315,0.08016613512364247
VPD,0.54,0.05303867878863658,0.029801669944076258,0.08256006013617305
VPD,0.55,0.054743182460464196,0.03272211439610425,0.08435740770035896
VPD,0.56,0.05869830028560275,0.03415419931077065,0.08723346389632483
VPD,0.5700000000000001,0.06355210345811776,0.03662574325108833,0.09142611386771071
VPD,0.58,0.06830598540011004,0.035559325669465576,0.09079194985240412
VPD,0.59,0.06939310343691037,0.03595277176759004,0.0906312264085959
VPD,0.6,0.07081593732059555,0.0377924455796149,0.09023832847492325
VPD,0.61,0.06909079219077728,0.03701893694959461,0.09025284945362809
VPD,0.62,0.06911068902064421,0.03779640532834448,0.09180133444136218
VPD,0.63,0.06871127158091325,0.0478893793385649,0.08938910185810044
VPD,0.64,0.0711460816058405,0.051174899148172505,0.08830761016579812
VPD,0.65,0.07191678810868864,0.05056802848456341,0.09006143238055593
